chamber,temp_C,total_DW_g,total_AFDW_g,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt,nutrients,season,month,NO3_N_ug_L,NH4_N_ug_L,SRP_ug_L
1,13,2.75,0.172,0.014530157,37.4053179457799,13.434395040534,50.8397129863139,13C,295.5797266646157,217.47277875453432,78.1069479100814,3498.910093422521,2574.3230404034794,924.5870530190417,ambient,0,spring,march,1.41,0.39,2.77
2,10,2.963571429,0.212142857,0.014530157,36.3569362405636,7.34040173052358,43.69733797108718,10C,205.98071784753603,171.3794975456732,34.60122030186282,3007.354839392801,2502.170915328967,505.1839240638336,ambient,0,spring,march,1.41,0.39,2.77
3,13,6.882,0.582,0.014530157,34.9948270410187,13.4621728866938,48.4569999277125,13C,83.25945004761599,60.12856879900121,23.130881248614777,3334.9261076609496,2408.4273171321342,926.4987905288153,ambient,0,spring,march,1.41,0.39,2.77
4,10,11.908,0.354,0.014530157,NA,NA,NA,10C,NA,NA,NA,NA,NA,NA,ambient,0,spring,march,1.41,0.39,2.77
5,16,5.6,0.104,0.014530157,55.3124857118161,14.8033022554912,70.1157879673073,16C,674.1902689164164,531.850824152078,142.33944476433848,4825.535468564262,3806.7369617421273,1018.7985068221356,ambient,0,spring,march,1.41,0.39,2.77
6,13,4.274,0.17,0.014530157,46.1577719063456,10.8441161872801,57.0018880936257,13C,335.30522408015116,271.5163053314447,63.78891874870647,3923.0056560039716,3176.6877609337325,746.3178950702392,ambient,0,spring,march,1.41,0.39,2.77
7,16,6.568,0.17,0.014530157,48.0514360996031,12.8085988653918,60.8600349649949,16C,358.0002056764406,282.6555064682535,75.34469920818705,4188.532509662139,3307.014239392121,881.5182702700184,ambient,0,spring,march,1.41,0.39,2.77
8,16,3.221666667,0.319444444,0.014530157,42.7667398015654,13.3998996038365,56.1666394054019,16C,175.82600186153778,133.87848999986176,41.94751186167602,3865.521852613286,2943.3088576789223,922.2129949343631,ambient,0,spring,march,1.41,0.39,2.77
9,7,3.554,0.222,0.014530157,31.5906364361747,12.4233339101603,44.013970346335,7C,198.2611276861937,142.30016412691307,55.96096355928063,3029.146233336295,2174.1428145734903,855.0034187628048,ambient,0,spring,march,1.41,0.39,2.77
10,10,2.844,0.178,0.014530157,45.9157219561891,5.11218234883134,51.02790430502044,10C,286.6736196911261,257.95349413589383,28.720125555232247,3511.861868045916,3160.0293070604193,351.83256098549657,ambient,0,spring,march,1.41,0.39,2.77
14,13,1.691764706,0.069411765,0.014530157,43.2691817673866,14.6611531020916,57.9303348694782,13C,834.5895666171031,623.3695651938342,211.2200014232688,3986.903573683216,2977.8881100449635,1009.0154636382524,ambient,0,spring,march,1.41,0.39,2.77
15,7,0.956,0.078,0.014530157,25.9142551046993,16.7519472409197,42.666202345619,7C,547.0025941746026,332.23403980383716,214.7685543707654,2936.389630588231,1783.4807362851827,1152.9088943030486,ambient,0,spring,march,1.41,0.39,2.77
17,10,9.170714286,0.266428571,0.014530157,42.4918702489316,6.07137306836134,48.56324331729294,10C,182.2749081865283,159.48691271902516,22.787995467503144,3342.2380306897535,2924.3916806220054,417.84635006774806,ambient,0,spring,march,1.41,0.39,2.77
18,16,9.542,0.186,0.014530157,61.5802432217171,15.623578381908,77.2038216036251,16C,415.07430969690915,331.0765764608446,83.99773323606452,5313.350819514551,4238.098956653882,1075.2518628606697,ambient,0,spring,march,1.41,0.39,2.77
19,7,6.804,0.52,0.014530157,34.0978371270905,15.188278675711,49.286115802801504,7C,94.78099192846443,65.57276370594327,29.208228222521154,3391.987836249911,2346.6943355870485,1045.2935006628627,ambient,0,spring,march,1.41,0.39,2.77
20,7,3.052666667,0.434666667,0.014530157,32.5574039056554,9.47818314891755,42.03558705457295,7C,96.70763885506994,74.90200279299401,21.80563606207593,2892.989184808736,2240.678053627046,652.3111311816899,ambient,0,spring,march,1.41,0.39,2.77
1,10,28.48717877,0.483543118,0.011825093,31.9881373503323,12.1469945330879,44.1351318834202,10C,91.27444945544691,66.15363999520783,25.120809460239077,3732.32852235667,2705.106619485555,1027.221902871115,enriched,1,spring,march,534.89,571.52,823.85
2,13,6.374623429,0.142435919,0.006300919,40.24360264771,15.4073987617491,55.6510014094591,13C,390.70904165303347,282.53830164644074,108.17074000659272,8832.203906995011,6386.941753688628,2445.2621533063825,enriched,1,spring,march,534.89,571.52,823.85
3,13,21.03466924,0.319144714,0.010403278,45.4854376438304,16.8053467941139,62.290784437944296,13C,195.18037337113563,142.52292345293364,52.65744991820199,5987.611254639575,4372.221682803286,1615.3895718362903,enriched,1,spring,march,534.89,571.52,823.85
4,13,19.82967607,0.445521535,0.01811616,70.1141708870153,23.6133790962414,93.72754998325671,13C,210.3771481736718,157.37549226888729,53.001655904784485,5173.698509135309,3870.255666047071,1303.4428430882372,enriched,1,spring,march,534.89,571.52,823.85
5,7,13.57310015,0.294969815,0.01156687,20.763210534662,15.8248445578591,36.5880550925211,7C,124.03999742319769,70.390967071196755,53.64903035200093,3163.1768224697867,1795.0586921666795,1368.1181303031071,enriched,1,spring,march,534.89,571.52,823.85
6,7,18.65787101,0.308404108,0.010447311,22.1076867165276,17.2683843474371,39.3760710639647,7C,127.67686954404869,71.68415122579236,55.992718318256316,3769.0149229753665,2116.112626160703,1652.9022968146633,enriched,1,spring,march,534.89,571.52,823.85
7,7,17.98529669,0.344641016,0.009027461,22.5021479907511,16.2239499978181,38.7260979885692,7C,112.36648045562052,65.29155540427928,47.074925051341246,4289.810611042152,2492.633088168545,1797.1775228736074,enriched,1,spring,march,534.89,571.52,823.85
8,10,13.60287223,0.241798135,0.00667376,49.0842656736444,20.272520388897,69.3567860625414,10C,286.83755589157624,202.9968745360439,83.84068135553238,10392.4603315884,7354.814328601029,3037.6460029873715,enriched,1,spring,march,534.89,571.52,823.85
9,10,12.79836937,0.236923003,0.007956287,23.8893352477849,12.5419448357985,36.4312800835834,10C,153.76843794092633,100.83164127286071,52.93679666806562,4578.929855544855,3002.5733420356632,1576.356513509191,enriched,1,spring,march,534.89,571.52,823.85
10,13,15.15618185,0.311073288,0.011958724,58.8029193246308,23.4250219192272,82.227941243858,13C,264.33623334401506,189.0323650182101,75.30386832580494,6875.979514524961,4917.156656900083,1958.8228576248769,enriched,1,spring,march,534.89,571.52,823.85
11,16,14.30077643,0.338396978,0.010852669,46.8460772372068,16.1839216942713,63.029998931478104,16C,186.2605254455851,138.4352706518756,47.825254793709476,5807.787829102509,4316.548974008771,1491.2388550937378,enriched,1,spring,march,534.89,571.52,823.85
12,10,15.25124674,0.272666145,0.012927692,21.3098974593958,11.4011965143512,32.711093973747,10C,119.9675668343314,78.15380768813743,41.813759146193966,2530.3119825060035,1648.3914885499903,881.9204939560133,enriched,1,spring,march,534.89,571.52,823.85
13,16,13.94306885,0.271828358,0.008121895,48.8498389079762,18.060756208994,66.9105951169702,16C,246.1501647924835,179.70839859164437,66.44176620083914,8238.29846568691,6014.586362908681,2223.712102778231,enriched,1,spring,march,534.89,571.52,823.85
14,16,4.676860423,0.125445054,0.008572842,30.7130565959462,16.9984515172089,47.7115081131551,16C,380.3378976835157,244.83274243675004,135.50515524676564,5565.4248746396,3582.5991655913167,1982.8257090482828,enriched,1,spring,march,534.89,571.52,823.85
15,7,9.794853254,0.288539407,0.010189225,NA,NA,NA,7C,NA,NA,NA,NA,NA,NA,enriched,1,spring,march,534.89,571.52,823.85
